"","1","Basisadresse","3"
"","2","Startspannung","5"
"","3","Beschleunigungsrate","0"
"","4","Bremsrate","0"
"","5","Maximale Spannung","160"
"","6","Mittlere Spannung","0"
"","9","PWM Periode","40"
"","27","Bremsmodus","24"
"","28","Konfigurationsdaten RailCom","3"
"","29","Konfigurationsdaten","30"
"","33","Licht vorwärts","0"
"","34","Licht rückwärts","0"
"","35","F1","0"
"","36","F2","0"
"","37","F3","0"
"","49","Erweiterte Konfiguration #1","17"
"","50","Analogmodus","3"
"","51","K Slow Cutoff","7"
"","52","Lastregelung Parameter K Slow","3"
"","53","Regelungsreferenz","1"
"","54","Lastregelung Parameter  K","15"
"","55","Lastregelung Parameter I","26"
"","56","Regelungseinfluss bei VMin","251"
"","67","Geschwindigkeitstabelle #1","1"
"","68","Geschwindigkeitstabelle #2","10"
"","69","Geschwindigkeitstabelle #3","20"
"","70","Geschwindigkeitstabelle #4","29"
"","71","Geschwindigkeitstabelle #5","39"
"","72","Geschwindigkeitstabelle #6","48"
"","73","Geschwindigkeitstabelle #7","57"
"","74","Geschwindigkeitstabelle #8","67"
"","75","Geschwindigkeitstabelle #9","76"
"","76","Geschwindigkeitstabelle #10","86"
"","77","Geschwindigkeitstabelle #11","95"
"","78","Geschwindigkeitstabelle #12","104"
"","79","Geschwindigkeitstabelle #13","114"
"","80","Geschwindigkeitstabelle #14","123"
"","81","Geschwindigkeitstabelle #15","133"
"","82","Geschwindigkeitstabelle #16","142"
"","83","Geschwindigkeitstabelle #17","152"
"","84","Geschwindigkeitstabelle #18","161"
"","85","Geschwindigkeitstabelle #19","170"
"","86","Geschwindigkeitstabelle #20","180"
"","87","Geschwindigkeitstabelle #21","189"
"","88","Geschwindigkeitstabelle #22","199"
"","89","Geschwindigkeitstabelle #23","208"
"","90","Geschwindigkeitstabelle #24","217"
"","91","Geschwindigkeitstabelle #25","227"
"","92","Geschwindigkeitstabelle #26","236"
"","93","Geschwindigkeitstabelle #27","246"
"","94","Geschwindigkeitstabelle #28","255"
"","113","Power Fail Bypass","255"
"","124","Erweiterte Konfiguration #2","0"
"","","",""
"","","",""
